tier 1,tier 2,tier 3,tier 4,tier 5,tier 6,relationship,relationshipObject,Definition
Social & cultural history,Fiber arts,,,,,,,"Fine art whose material consists of natural fiber and other components, such as fabric or yarn."
Social & cultural history,Fiber arts,Textiles,,,,,,Production of woven products
Social & cultural history,Fiber arts,Textiles,Quilting,,,,,The making of quilts
Social & cultural history,Fiber arts,Textiles,Sewing Circles,,,,,Groups of people meeting regularly to sew together
Social & cultural history,Recreation,,,,,,,"An activity of leisure, leisure being discretionary time."
Social & cultural history,Recreation,Weddings,,,,,,
Social & cultural history,Recreation,Picnics,,,,,,
Social & cultural history,Recreation,Walking,,,,,,
Social & cultural history,Recreation,Sleighing,,,,,,A winter pastime typically consisting of lying or sitting in a sleigh or sled and sliding down a hill of snow.
Fort Steilacoom,,,,,,,,One of the first military fortifications built by the U.S. north of the Columbia River in what was to become the State of Washington.
